decimalLatitude,decimalLongitude,Year,SPRING,SUMMER,SUMMER_before,SPRING_temp,SUMMER_temp,SUMMER_before_temp
51.0688,-1.7945,1950,SEASON_1950-04-16,SEASON_1950-07-16,SEASON_1949-07-16,8.847383272048704,15.68299987884007,16.540611931328723
51.2484,-0.7558,1939,SEASON_1939-04-16,SEASON_1939-07-16,SEASON_1938-07-16,8.548310355483261,15.479121317112392,15.739279883722558
50.9385,-0.5422,1946,SEASON_1946-04-16,SEASON_1946-07-16,SEASON_1945-07-16,8.702213370216127,14.931055785364178,15.936024121814345
51.2389,-0.8331,1952,SEASON_1952-04-16,SEASON_1952-07-16,SEASON_1951-07-16,9.667442024432834,16.041423194873403,15.188898253269574
51.8639,0.8936,1952,SEASON_1952-04-16,SEASON_1952-07-16,SEASON_1951-07-16,9.847843975060586,16.74331821913357,15.858788413207428
50.7436,-2.8525,1945,SEASON_1945-04-16,SEASON_1945-07-16,SEASON_1944-07-16,9.726176946010579,15.18066911668951,15.57623773991434
50.9914,-4.0033,1950,SEASON_1950-04-16,SEASON_1950-07-16,SEASON_1949-07-16,9.106385381910753,14.989130135560734,15.961747000514164
50.6083,-1.9608,1937,SEASON_1937-04-16,SEASON_1937-07-16,SEASON_1936-07-16,8.983423388850408,16.162384833992206,15.663193392059132
50.6083,-1.9608,1935,SEASON_1935-04-16,SEASON_1935-07-16,SEASON_1934-07-16,8.856073552838987,16.679916962404587,16.760655378320237
53.3347,-3.8571,1980,SEASON_1980-04-16,SEASON_1980-07-16,SEASON_1979-07-16,6.785509677744083,12.984603728101147,13.065436643517778
51.255,-0.3086,1948,SEASON_1948-04-16,SEASON_1948-07-16,SEASON_1947-07-16,10.129812912855106,15.50812141154408,18.005449261812746
50.7179,-2.1077,1971,SEASON_1971-04-16,SEASON_1971-07-16,SEASON_1970-07-16,8.11535749386484,15.401690597756664,15.552717069736365
50.6835,-3.2689,1971,SEASON_1971-04-16,SEASON_1971-07-16,SEASON_1970-07-16,8.099219156651358,15.321443017122942,15.504251601281695
51.1905,-2.5057,1928,SEASON_1928-04-16,SEASON_1928-07-16,SEASON_1927-07-16,8.628493224496426,15.00660948991101,14.675591916335684
53.3347,-3.8571,1947,SEASON_1947-04-16,SEASON_1947-07-16,SEASON_1946-07-16,6.833576936968402,14.591652435622882,12.492882334145449
53.3347,-3.8571,1950,SEASON_1950-04-16,SEASON_1950-07-16,SEASON_1949-07-16,7.378199204555913,13.957656751579686,14.433214436671593
50.9245,-1.6627,1958,SEASON_1958-04-16,SEASON_1958-07-16,SEASON_1957-07-16,7.408556653737773,15.031489112286065,15.932020295306438
50.7821,-1.5533,1959,SEASON_1959-04-16,SEASON_1959-07-16,SEASON_1958-07-16,10.06933846398559,16.728039756411537,15.222413851369218
50.5672,-2.446,1966,SEASON_1966-04-16,SEASON_1966-07-16,SEASON_1965-07-16,8.531888013978861,14.769627191653646,14.022024693614856
51.2328,-0.5078,1938,SEASON_1938-04-16,SEASON_1938-07-16,SEASON_1937-07-16,8.671651914334443,15.434511126014835,15.98524725051952
50.6167,-2.0333,1956,SEASON_1956-04-16,SEASON_1956-07-16,SEASON_1955-07-16,8.436812331528229,14.479024710990204,16.488564628982207
50.8264,-1.7017,1961,SEASON_1961-04-16,SEASON_1961-07-16,SEASON_1960-07-16,9.454239276710576,15.1789267743822,15.112915538980426
50.8739,0.0088,1914,SEASON_1914-04-16,SEASON_1914-07-16,SEASON_1913-07-16,9.257308451330923,15.955342265856713,14.892305142337737
50.8765,-1.6315,1970,SEASON_1970-04-16,SEASON_1970-07-16,SEASON_1969-07-16,8.289311458561471,16.343941855212677,16.391610507959157
50.8189,-1.5757,1947,SEASON_1947-04-16,SEASON_1947-07-16,SEASON_1946-07-16,9.056190304399966,17.775304484332224,15.076841837254536
50.8264,-1.7017,1962,SEASON_1962-04-16,SEASON_1962-07-16,SEASON_1961-07-16,6.661968979876725,14.269119381854242,15.1789267743822
51.0814,1.1695,1948,SEASON_1948-04-16,SEASON_1948-07-16,SEASON_1947-07-16,9.521191880143835,15.098999915239267,17.457169507040916
50.5672,-2.446,1965,SEASON_1965-04-16,SEASON_1965-07-16,SEASON_1964-07-16,7.987521766195775,14.022024693614856,15.084739573557606
50.8342,-0.2716,1938,SEASON_1938-04-16,SEASON_1938-07-16,SEASON_1937-07-16,8.891265384005022,15.602240943270413,16.183917809859466
