VCNUMBER,VCNAME,MidDate,Year,Month,Mid,MeanTemp,Season
78,Peeblesshire,1975-04-16,1975,4,16,4.8732428550720215,Spring
78,Peeblesshire,1975-07-16,1975,7,16,13.553059577941895,Summer
78,Peeblesshire,1975-10-16,1975,10,16,7.008893966674805,Autumn
78,Peeblesshire,1976-01-16,1976,1,16,3.2338645458221436,Winter
78,Peeblesshire,1976-04-16,1976,4,16,5.54525089263916,Spring
78,Peeblesshire,1976-07-16,1976,7,16,13.743931770324707,Summer
78,Peeblesshire,1976-10-16,1976,10,16,7.201988220214844,Autumn
78,Peeblesshire,1977-01-16,1977,1,16,0.18264859914779663,Winter
78,Peeblesshire,1977-04-16,1977,4,16,5.392302989959717,Spring
78,Peeblesshire,1977-07-16,1977,7,16,11.884090423583984,Summer
78,Peeblesshire,1977-10-16,1977,10,16,7.437389850616455,Autumn
78,Peeblesshire,1978-01-16,1978,1,16,0.975729763507843,Winter
78,Peeblesshire,1978-04-16,1978,4,16,5.739964485168457,Spring
